,st_cty_code,county,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
250,8003,Alamosa County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,8005,Arapahoe County,CO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
252,8007,Archuleta County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,8009,Baca County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,80011,Bent County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,80013,Boulder County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,80014,Broomfield County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,80015,Chaffee County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,80017,Cheyenne County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,80019,Clear Creek County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,80021,Conejos County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,80023,Costilla County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,80025,Crowley County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,80027,Custer County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,80029,Delta County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,80031,Denver County,CO,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
266,80033,Dolores County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,80035,Douglas County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
268,80037,Eagle County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,80039,Elbert County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,80041,El Paso County,CO,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
271,80043,Fremont County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,80045,Garfield County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,80047,Gilpin County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,80049,Grand County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,80051,Gunnison County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,80053,Hinsdale County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,80055,Huerfano County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,80057,Jackson County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,80059,Jefferson County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
280,80061,Kiowa County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,80063,Kit Carson County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,80065,Lake County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,80067,La Plata County,CO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
284,80069,Larimer County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,80071,Las Animas County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
286,80073,Lincoln County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,80075,Logan County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,80077,Mesa County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,80079,Mineral County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,80081,Moffat County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,80083,Montezuma County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,80085,Montrose County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,80087,Morgan County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,80089,Otero County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,80091,Ouray County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,80093,Park County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,80095,Phillips County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,80097,Pitkin County,CO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,80099,Prowers County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,800101,Pueblo County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,800103,Rio Blanco County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,800105,Rio Grande County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,800107,Routt County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,800109,Saguache County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,800111,San Juan County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,800113,San Miguel County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,800115,Sedgwick County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,800117,Summit County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,800119,Teller County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,800121,Washington County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,800123,Weld County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312,800125,Yuma County,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,800999,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,9001,Fairfield County,CT,1342,1146,1313,335,330,426,355,434,530,698,331,305,225,443,437,427,310,418,289
315,9003,Hartford County,CT,231,269,293,59,73,96,132,216,291,312,187,167,143,288,291,335,229,282,217
316,9005,Litchfield County,CT,457,376,677,276,283,299,357,358,172,213,88,118,67,187,168,202,127,221,130
317,9007,Middlesex County,CT,191,163,214,83,47,118,105,157,195,196,125,109,93,181,155,241,158,163,200
318,9009,New Haven County,CT,442,479,538,71,102,175,152,377,393,460,240,249,213,388,459,474,351,375,333
319,90011,New London County,CT,439,448,641,170,181,312,317,407,286,579,340,314,263,402,406,421,250,269,387
320,90013,Tolland County,CT,201,219,332,121,98,138,191,227,273,297,161,217,129,255,233,211,155,133,138
321,90015,Windham County,CT,359,375,488,236,187,189,147,178,121,275,148,128,122,184,162,197,148,122,149
322,900999,Connecticut,CT,111,122,135,52,47,57,32,704,1635,1126,1448,1432,1402,597,49,33,20,68,16
323,10001,Kent County,DE,25,22,33,33,148,177,114,155,119,181,127,133,110,78,76,58,74,105,75
324,10003,New Castle County,DE,121,102,132,128,105,312,285,441,519,622,396,552,398,299,259,283,269,312,285
325,10005,Sussex County,DE,21,28,29,51,20,107,67,92,104,160,96,154,123,103,50,58,104,146,127
326,1000999,Delaware,DE,0,0,0,0,66,50,16,27,30,21,37,34,38,29,32,36,59,45,33
327,11001,District of Columbia,District of Columbia,11,17,25,14,16,10,62,116,74,61,42,0,0,35,40,121,103,84,79
328,12001,Alachua County,FL,1,0,0,0,6,0,0,1,3,1,1,2,3,0,0,4,3,1,0
329,12003,Baker County,FL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
330,12005,Bay County,FL,0,0,1,0,0,0,0,0,0,1,0,1,0,4,2,1,2,2,0
331,12007,Bradford County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,12009,Brevard County,FL,2,1,1,1,2,0,0,0,3,1,3,4,2,7,4,3,8,4,9
333,120011,Broward County,FL,0,0,0,0,0,1,1,1,1,4,3,3,2,1,1,9,17,12,5
334,120013,Calhoun County,FL,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
335,120015,Charlotte County,FL,0,0,2,2,1,3,0,2,0,0,2,1,0,0,4,0,6,0,0
336,120017,Citrus County,FL,1,1,5,2,0,1,0,0,0,4,2,3,3,1,0,2,0,2,2
337,120019,Clay County,FL,1,0,0,0,1,0,0,0,0,0,0,0,1,2,3,0,4,0,0
338,120021,Collier County,FL,1,1,1,1,0,1,0,0,0,0,1,1,5,6,2,7,9,5,6
339,120023,Columbia County,FL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0
340,120027,DeSoto County,FL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
341,120029,Dixie County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
342,120031,Duval County,FL,1,1,3,0,2,0,1,0,3,1,4,3,2,1,1,4,8,3,5
343,120033,Escambia County,FL,1,0,3,0,0,1,0,0,3,1,1,0,0,6,2,2,1,0,1
344,120035,Flagler County,FL,1,0,1,0,0,0,0,0,3,1,1,4,3,1,3,0,0,0,1
345,120037,Franklin County,FL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
346,120039,Gadsden County,FL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
347,120041,Gilchrist County,FL,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
348,120043,Glades County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
349,120045,Gulf County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
350,120047,Hamilton County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,120049,Hardee County,FL,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
352,120051,Hendry County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,120053,Hernando County,FL,2,0,0,0,0,0,0,2,2,1,1,0,0,0,0,2,1,2,0
354,120055,Highlands County,FL,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0
355,120057,Hillsborough County,FL,2,3,2,3,1,7,2,1,2,11,4,7,9,11,11,12,7,12,7
356,120059,Holmes County,FL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
357,120061,Indian River County,FL,2,1,2,1,4,0,1,0,3,3,1,0,2,3,6,3,7,3,2
358,120063,Jackson County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,120065,Jefferson County,FL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
360,120067,Lafayette County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,120069,Lake County,FL,1,1,1,2,1,0,0,0,0,0,1,1,3,0,3,6,2,3,6
362,120071,Lee County,FL,3,1,1,1,2,2,3,3,3,11,8,9,8,13,7,17,20,9,11
363,120073,Leon County,FL,0,0,3,0,0,0,0,0,0,0,0,3,1,2,0,2,1,3,1
364,120075,Levy County,FL,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
365,120077,Liberty County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,120079,Madison County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,120081,Manatee County,FL,1,0,3,0,0,3,0,2,3,4,0,4,2,6,1,5,7,12,4
368,120083,Marion County,FL,0,0,1,1,0,2,0,1,5,2,5,7,4,3,3,8,11,11,7
369,120085,Martin County,FL,1,0,0,0,2,2,2,4,2,4,4,2,1,1,6,5,6,9,3
370,120086,Miami-Dade County,FL,9,6,3,6,5,1,0,0,7,8,6,5,13,8,16,10,7,21,8
371,120087,Monroe County,FL,0,1,2,0,0,1,0,0,1,0,1,0,0,2,1,0,4,2,1
372,120089,Nassau County,FL,0,0,3,3,0,1,0,0,0,1,0,1,0,1,1,1,2,1,3
373,120091,Okaloosa County,FL,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,4,7,6
374,120093,Okeechobee County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
375,120095,Orange County,FL,4,3,5,1,3,0,2,2,3,6,4,3,3,4,2,7,5,8,5
376,120097,Osceola County,FL,0,0,1,0,0,1,3,0,0,0,1,0,1,3,0,2,3,6,6
377,120099,Palm Beach County,FL,2,6,7,5,3,5,5,4,8,8,1,16,4,6,14,10,0,15,15
378,1200101,Pasco County,FL,0,0,8,0,2,0,0,0,0,5,4,4,3,2,6,6,7,4,5
379,1200103,Pinellas County,FL,10,5,10,6,4,4,3,4,8,6,4,9,6,7,5,4,16,17,12
380,1200105,Polk County,FL,0,0,1,1,0,0,0,0,4,4,1,3,3,1,6,8,11,6,4
381,1200107,Putnam County,FL,0,1,0,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0
382,1200109,St. Johns County,FL,0,1,1,0,0,0,0,1,5,2,1,3,4,4,6,5,4,2,9
383,1200111,St. Lucie County,FL,0,0,0,0,0,0,2,0,0,2,2,1,7,4,3,1,2,4,3
384,1200113,Santa Rosa County,FL,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,1,2,1,2
385,1200115,Sarasota County,FL,4,4,3,6,3,5,3,0,11,8,3,1,6,11,8,7,10,5,7
386,1200117,Seminole County,FL,1,0,0,0,0,0,4,0,0,3,1,0,3,4,5,2,2,4,3
387,1200119,Sumter County,FL,0,0,0,0,0,0,0,0,0,0,1,5,1,3,3,2,4,2,2
388,1200121,Suwannee County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
389,1200123,Taylor County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,1200125,Union County,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,1200127,Volusia County,FL,1,3,4,0,0,2,1,0,3,2,2,7,6,4,11,5,7,4,4
392,1200129,Wakulla County,FL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
393,1200131,Walton County,FL,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
394,1200133,Washington County,FL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
395,1200999,Florida,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,13001,Appling County,GA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
397,13003,Atkinson County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,13005,Bacon County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,13007,Baker County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,13009,Baldwin County,GA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
401,130011,Banks County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,130013,Barrow County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
403,130015,Bartow County,GA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
404,130017,Ben Hill County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
405,130019,Berrien County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,130021,Bibb County,GA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
407,130023,Bleckley County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,130025,Brantley County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,130027,Brooks County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,130029,Bryan County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
411,130031,Bulloch County,GA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
412,130033,Burke County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,130035,Butts County,GA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
414,130037,Calhoun County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,130039,Camden County,GA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
416,130043,Candler County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,130045,Carroll County,GA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
418,130047,Catoosa County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
419,130049,Charlton County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,130051,Chatham County,GA,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,1
421,130053,Chattahoochee County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,130055,Chattooga County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,130057,Cherokee County,GA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
424,130059,Clarke County,GA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
425,130061,Clay County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,130063,Clayton County,GA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
427,130065,Clinch County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,130067,Cobb County,GA,0,0,1,1,2,2,0,2,2,1,1,5,2,0,0,0,0,0,4
429,130069,Coffee County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,130071,Colquitt County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,130073,Columbia County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
432,130075,Cook County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,130077,Coweta County,GA,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
434,130079,Crawford County,GA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
435,130081,Crisp County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,130083,Dade County,GA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,130085,Dawson County,GA,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,130087,Decatur County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
439,130089,DeKalb County,GA,0,0,0,1,1,0,1,1,2,3,1,3,0,0,0,0,0,1,0
440,130091,Dodge County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,130093,Dooly County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,130095,Dougherty County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
443,130097,Douglas County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
444,130099,Early County,GA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
445,1300101,Echols County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,1300103,Effingham County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
447,1300105,Elbert County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,1300107,Emanuel County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
449,1300109,Evans County,GA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
450,1300111,Fannin County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
451,1300113,Fayette County,GA,0,0,0,1,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0
452,1300115,Floyd County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
453,1300117,Forsyth County,GA,0,0,1,0,0,0,0,2,0,1,1,1,2,0,1,0,0,0,1
454,1300119,Franklin County,GA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
455,1300121,Fulton County,GA,0,0,0,1,0,0,2,1,1,6,1,2,1,1,0,0,0,0,0
456,1300123,Gilmer County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
457,1300125,Glascock County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,1300127,Glynn County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
459,1300129,Gordon County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,1300131,Grady County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,1300133,Greene County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,1300135,Gwinnett County,GA,0,0,0,0,0,0,0,0,3,3,1,1,2,2,1,1,0,0,2
463,1300137,Habersham County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,1300139,Hall County,GA,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,1
465,1300141,Hancock County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,1300143,Haralson County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,1300145,Harris County,GA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
468,1300147,Hart County,GA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,1300149,Heard County,GA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
470,1300151,Henry County,GA,0,0,0,1,0,0,0,0,2,6,2,0,1,1,0,0,0,0,0
471,1300153,Houston County,GA,0,0,0,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0
472,1300155,Irwin County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,1300157,Jackson County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,1300159,Jasper County,GA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
475,1300161,Jeff Davis County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,1300163,Jefferson County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,1300165,Jenkins County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,1300167,Johnson County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,1300169,Jones County,GA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
480,1300171,Lamar County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,1300173,Lanier County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,1300175,Laurens County,GA,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
483,1300177,Lee County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
484,1300179,Liberty County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
485,1300181,Lincoln County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,1300183,Long County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,1300185,Lowndes County,GA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
488,1300187,Lumpkin County,GA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,1300189,McDuffie County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,1300191,McIntosh County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
491,1300193,Macon County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,1300195,Madison County,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
493,1300197,Marion County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,1300199,Meriwether County,GA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
495,1300201,Miller County,GA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
496,1300205,Mitchell County,GA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
497,1300207,Monroe County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,1300209,Montgomery County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,1300211,Morgan County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1300213,Murray County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,1300215,Muscogee County,GA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
502,1300217,Newton County,GA,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,1
503,1300219,Oconee County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,1300221,Oglethorpe County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,1300223,Paulding County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
506,1300225,Peach County,GA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
507,1300227,Pickens County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
508,1300229,Pierce County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,1300231,Pike County,GA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
510,1300233,Polk County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,1300235,Pulaski County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,1300237,Putnam County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,1300239,Quitman County,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,1300241,Rabun County,GA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
